six_code,index,machine_tags,neighbors_h1,prompt_cn,prompt_en,icon_path
101001,41,l1 101001|l2 101001|l3 101001|l4 101001|l5 101001|r1 101001|r2 101001|r3 101001|r4 101001|r5 101001|c1 101001|c2 101001,001001|111001|100001|101101|101011|101000,,,
101010,42,l1 101010|l2 101010|l3 101010|l4 101010|l5 101010|r1 101010|r2 101010|r3 101010|r4 101010|r5 101010|c1 101010|c2 101010,001010|111010|100010|101110|101000|101011,,,
101011,43,l1 101011|l2 101011|l3 101011|l4 101011|l5 101011|r1 101011|r2 101011|r3 101011|r4 101011|r5 101011|c1 101011|c2 101011,001011|111011|100011|101111|101001|101010,,,
101100,44,l1 101100|l2 101100|l3 101100|l4 101100|l5 101100|r1 101100|r2 101100|r3 101100|r4 101100|r5 101100|c1 101100|c2 101100,001100|111100|100100|101000|101110|101101,,,
101101,45,l1 101101|l2 101101|l3 101101|l4 101101|l5 101101|r1 101101|r2 101101|r3 101101|r4 101101|r5 101101|c1 101101|c2 101101,001101|111101|100101|101001|101111|101100,,,
101110,46,l1 101110|l2 101110|l3 101110|l4 101110|l5 101110|r1 101110|r2 101110|r3 101110|r4 101110|r5 101110|c1 101110|c2 101110,001110|111110|100110|101010|101100|101111,,,
101111,47,l1 101111|l2 101111|l3 101111|l4 101111|l5 101111|r1 101111|r2 101111|r3 101111|r4 101111|r5 101111|c1 101111|c2 101111,001111|111111|100111|101011|101101|101110,,,
110000,48,l1 110000|l2 110000|l3 110000|l4 110000|l5 110000|r1 110000|r2 110000|r3 110000|r4 110000|r5 110000|c1 110000|c2 110000,010000|100000|111000|110100|110010|110001,,,
110001,49,l1 110001|l2 110001|l3 110001|l4 110001|l5 110001|r1 110001|r2 110001|r3 110001|r4 110001|r5 110001|c1 110001|c2 110001,010001|100001|111001|110101|110011|110000,,,
110010,50,l1 110010|l2 110010|l3 110010|l4 110010|l5 110010|r1 110010|r2 110010|r3 110010|r4 110010|r5 110010|c1 110010|c2 110010,010010|100010|111010|110110|110000|110011,,,
110011,51,l1 110011|l2 110011|l3 110011|l4 110011|l5 110011|r1 110011|r2 110011|r3 110011|r4 110011|r5 110011|c1 110011|c2 110011,010011|100011|111011|110111|110001|110010,,,
110100,52,l1 110100|l2 110100|l3 110100|l4 110100|l5 110100|r1 110100|r2 110100|r3 110100|r4 110100|r5 110100|c1 110100|c2 110100,010100|100100|111100|110000|110110|110101,,,
110101,53,l1 110101|l2 110101|l3 110101|l4 110101|l5 110101|r1 110101|r2 110101|r3 110101|r4 110101|r5 110101|c1 110101|c2 110101,010101|100101|111101|110001|110111|110100,,,
110110,54,l1 110110|l2 110110|l3 110110|l4 110110|l5 110110|r1 110110|r2 110110|r3 110110|r4 110110|r5 110110|c1 110110|c2 110110,010110|100110|111110|110010|110100|110111,,,
110111,55,l1 110111|l2 110111|l3 110111|l4 110111|l5 110111|r1 110111|r2 110111|r3 110111|r4 110111|r5 110111|c1 110111|c2 110111,010111|100111|111111|110011|110101|110110,,,
111000,56,l1 111000|l2 111000|l3 111000|l4 111000|l5 111000|r1 111000|r2 111000|r3 111000|r4 111000|r5 111000|c1 111000|c2 111000,011000|101000|110000|111100|111010|111001,,,
111001,57,l1 111001|l2 111001|l3 111001|l4 111001|l5 111001|r1 111001|r2 111001|r3 111001|r4 111001|r5 111001|c1 111001|c2 111001,011001|101001|110001|111101|111011|111000,,,
111010,58,l1 111010|l2 111010|l3 111010|l4 111010|l5 111010|r1 111010|r2 111010|r3 111010|r4 111010|r5 111010|c1 111010|c2 111010,011010|101010|110010|111110|111000|111011,,,
111011,59,l1 111011|l2 111011|l3 111011|l4 111011|l5 111011|r1 111011|r2 111011|r3 111011|r4 111011|r5 111011|c1 111011|c2 111011,011011|101011|110011|111111|111001|111010,,,
111100,60,l1 111100|l2 111100|l3 111100|l4 111100|l5 111100|r1 111100|r2 111100|r3 111100|r4 111100|r5 111100|c1 111100|c2 111100,011100|101100|110100|111000|111110|111101,,,
111101,61,l1 111101|l2 111101|l3 111101|l4 111101|l5 111101|r1 111101|r2 111101|r3 111101|r4 111101|r5 111101|c1 111101|c2 111101,011101|101101|110101|111001|111111|111100,,,
111110,62,l1 111110|l2 111110|l3 111110|l4 111110|l5 111110|r1 111110|r2 111110|r3 111110|r4 111110|r5 111110|c1 111110|c2 111110,011110|101110|110110|111010|111100|111111,,,
111111,63,l1 111111|l2 111111|l3 111111|l4 111111|l5 111111|r1 111111|r2 111111|r3 111111|r4 111111|r5 111111|c1 111111|c2 111111,011111|101111|110111|111011|111101|111110,,,
